Timestamp,Type,Company,Role,Monthly/Annual Salary (Specify if not SGD),Total Stocks (Specify if not SGD),Sign On (Specify if not SGD),Annual Total Compensation (Specify if not SGD),Target Annual Bonus,Extra Information
11/10/2021 13:36:09,Internship,Autodesk,Software Engineer,2500,,,,,
11/10/2021 13:37:19,Internship,TikTok,Data Analyst,1400,,,,,
11/10/2021 13:38:03,Internship,GovTech,Data Science / Engineer,2500,,,,,
11/10/2021 13:38:43,Internship,Sea Group,Data Analyst,2000,,,,,
11/10/2021 13:39:12,Internship,Shopee,Data Analyst,1200,,,,,
11/10/2021 13:46:02,Internship,Shopee,Software Engineer,4200,,,,,
11/10/2021 13:41:03,Internship,JPMorgan,Software Engineer,5833,,,,,dependent on code for good performance
11/10/2021 13:44:27,Fresh Grad,DSO National Labs,Data Analyst,5400,,,,4 months,Looks like certain majors with high MOE GES gets a bump. Pay depends on class of honours
11/10/2021 13:45:09,Internship,Garena,Software Engineer,4200,,,,,"Garena used to be 2000 until June 2021, got upped to match Shopee levels"
11/10/2021 13:46:27,Internship,DSTA,ML Engineer,2500,,,,,
11/10/2021 13:52:06,Internship,SAP,ML Engineer,1400,,,,,
11/10/2021 13:52:34,Internship,Siemens ,Data Engineer,1000,,,,,
11/10/2021 13:54:43,Internship,Squarepoint Capital,Software Engineer,7000,,,,,
11/10/2021 13:55:47,Internship,ByteDance,Software Engineer,3900,,,,,
11/10/2021 13:56:15,Internship,GlobalFoundries ,QA,1500,,,,,
11/10/2021 13:56:57,Internship,Schneider Electric Pte Ltd,Software Engineer,1200,,,,,
11/10/2021 13:59:30,Internship,PayPal,Software Engineer,2000,,,,,
11/10/2021 14:01:42,Internship,Bosch,Software Engineer,1500,,,,,
11/10/2021 14:07:49,Internship,GIC,Software Engineer,5600,,,,,
11/10/2021 14:09:18,Internship,SAP,AI Engineer,1400,,,,,
11/10/2021 14:16:13,Internship,Illumina,Software Engineer,1200,,,,,
11/10/2021 14:16:58,Internship,PayPal,Software Engineer,2000,,,,,
11/10/2021 14:21:19,Fresh Grad,Thoughtworks,Software Engineer,4800,,,62400,1 month,
11/10/2021 14:43:55,Internship,TikTok,Software Engineer,3700,,,,,
11/10/2021 15:05:09,Internship,ByteDance,Software Engineer,4000,,,,,"Allowance for lunch on working days, 15 dollar on Deliveroo"
11/10/2021 15:05:47,Internship,Apple,Software Engineer,3300,,,,,
11/10/2021 15:07:16,Fresh Grad,Google,Software Engineer,7167,USD$70000 (before nego) USD$105000 (after nego),8600 (after nego),150000,15%,
11/10/2021 15:07:34,Internship,Amazon (AWS),Professional Services Intern,3000,,,,,
11/10/2021 15:17:00,Fresh Grad,TikTok,Software Engineer,7400,25000,,103,1.5 - unlimited,
11/10/2021 15:18:54,Internship,Grab,Product Management Intern,2500,,,,,
11/10/2021 15:37:07,Internship,SGInnovate Infinity Series,Software Engineer,1500,NA,NA,NA,NA,NA
11/10/2021 15:37:38,Internship,GovTech,Software Engineer,2500,,,,,Internship allowance is dependent on year of study.
11/10/2021 15:42:03,Internship,Virtu Financial,Software Engineer,12500,-,-,150000,-,-
11/10/2021 15:43:52,Internship,DRW,Software Engineer,9200,-,-,110000,-,-
11/10/2021 15:47:51,Internship,GIC,Software Engineer,2500,,,,,Semester internship. Summer interns get paid more (4k+)
11/10/2021 16:13:57,Internship,Workclass,Software Engineer,1500,,,,,
11/10/2021 16:14:43,Internship,Shopee,UI Developer,1200,,,,,
11/10/2021 16:15:11,Internship,NTUC Income,Software Engineer,1000,,,,,
11/10/2021 16:15:31,Internship,A*Star,Software Engineer,300,,,,,pre-university
11/10/2021 16:42:08,Internship,SGInnovate Summation Series,Data Science/Engineer,3000,,,,,Many 'deep tech' related roles at startups. Have to indicate ranked interest for specific projects during application
11/10/2021 16:45:43,Internship,JPMorgan,Software Engineer,5833,,,,,Depends on Code for Good performance
